INSERT INTO SINONIMOS VALUES("AVC", "acidente vascular cerebral");
INSERT INTO SINONIMOS VALUES("modismos alimentares", "comedor exigente");
INSERT INTO SINONIMOS VALUES("homo sapiens", "humano");
INSERT INTO SINONIMOS VALUES("fios de kirschner", "k-wire");
INSERT INTO SINONIMOS VALUES("lassitude", "fraqueza");
INSERT INTO SINONIMOS VALUES("vitamina K 2", "menaquinona");
INSERT INTO SINONIMOS VALUES("tomografia", "imagiologia");
INSERT INTO SINONIMOS VALUES("proteína g inibitória", "Proteína de ligação a GTP Gi alpha");
INSERT INTO SINONIMOS VALUES("alcance", "valor");
INSERT INTO SINONIMOS VALUES("osteoartrose deformans", "doença de kaschin-beck");
INSERT INTO SINONIMOS VALUES("panax", "ginseng");
INSERT INTO SINONIMOS VALUES("wdhh", "cólera pancreática");
INSERT INTO SINONIMOS VALUES("periadenite mucosa necrotica recurrens", "doença de sutton");
INSERT INTO SINONIMOS VALUES("deficiente", "Desativado");
INSERT INTO SINONIMOS VALUES("pilar", "sebáceo");
INSERT INTO SINONIMOS VALUES("organismos semelhantes à pleuropneumonia", "micoplasma");
INSERT INTO SINONIMOS VALUES("rajiformes", "raio");
INSERT INTO SINONIMOS VALUES("espécies de helianthus", "girassol");
INSERT INTO SINONIMOS VALUES("synapsn", "protena");
INSERT INTO SINONIMOS VALUES("trombo", "coágulo de sangue");
INSERT INTO SINONIMOS VALUES("timpanostomia", "miringotomia");
INSERT INTO SINONIMOS VALUES("sem seguro", "sem seguro médico");
INSERT INTO SINONIMOS VALUES("genes", "oncogene");
INSERT INTO SINONIMOS VALUES("levocarnitina", "l-carnitina");
INSERT INTO SINONIMOS VALUES("retirada", "abstinência");
INSERT INTO SINONIMOS VALUES("2-etanossulfônico", "2- (N-ciclohexilamino) etanossulfônico");
INSERT INTO SINONIMOS VALUES("2-cloro-9-adenina", "clofarabina");
INSERT INTO SINONIMOS VALUES("6-propionato de alfa-fluoroclobetasol 17", "propionato de halobetasol");
INSERT INTO SINONIMOS VALUES("7-cloro-8-hidroxi-1- 3-metil-2345-tetra-hidro-1h-3-benzazepina", "tisch");
INSERT INTO SINONIMOS VALUES("substância indutora de reação acrossômica", "Proteína ARIS");
INSERT INTO SINONIMOS VALUES("acteoside", "verbascoside");
INSERT INTO SINONIMOS VALUES("aminometiltransferase", "proteína t");
INSERT INTO SINONIMOS VALUES("3-hidroxibutirato", "beta-hidroxibutirato");
INSERT INTO SINONIMOS VALUES("dicitrato de tripotássio", "subcitratar");
INSERT INTO SINONIMOS VALUES("proteína desacopladora 1", "termogenina");
INSERT INTO SINONIMOS VALUES("dibásico", "hidrogênio");
INSERT INTO SINONIMOS VALUES("capsaicina", "vanilóide");
INSERT INTO SINONIMOS VALUES("conium", "cicuta venenosa");
INSERT INTO SINONIMOS VALUES("fator de crescimento do tecido conjuntivo", "ctgf");
INSERT INTO SINONIMOS VALUES("ctla-4", "antígeno de linfócito t citotóxico 4");
INSERT INTO SINONIMOS VALUES("durapatite", "hidroxiapatita");
INSERT INTO SINONIMOS VALUES("eleutherococcus", "ginseng siberiano");
INSERT INTO SINONIMOS VALUES("fonazina", "dimethotiazina");
INSERT INTO SINONIMOS VALUES("interleucina humana da", "hilda");
INSERT INTO SINONIMOS VALUES("receptores ige", "Antígeno CD23");
INSERT INTO SINONIMOS VALUES("Proteína 3 de ligação ao fator de crescimento semelhante à insulina", "igfbp-3");
INSERT INTO SINONIMOS VALUES("kavinton", "cavinton");
INSERT INTO SINONIMOS VALUES("3-hidroxi-acil-co-desidrogenase de cadeia longa", "l-chad");
INSERT INTO SINONIMOS VALUES("lisil endopeptidase", "acromopeptidase");
INSERT INTO SINONIMOS VALUES("amónio de magnésio", "triplo");
INSERT INTO SINONIMOS VALUES("cálcio ácido", "monocalcium");
INSERT INTO SINONIMOS VALUES("proteína quimiotática de monócitos-1", "mcp-1");
INSERT INTO SINONIMOS VALUES("Metanossulfonato de nn-dimetilcarbamoilmetil-4-fenilacetato", "camostat");
INSERT INTO SINONIMOS VALUES("papp", "1- (2- (4-aminofenil) etil) -4- (3-trifluorometilfenil) piperazina");
INSERT INTO SINONIMOS VALUES("peptidilprolil isomerase", "ciclofilina");
INSERT INTO SINONIMOS VALUES("Pikamilon", "picamilon");
INSERT INTO SINONIMOS VALUES("gama-catenina", "plakoglobin");
INSERT INTO SINONIMOS VALUES("psso3", "sulfonato de poliestireno");
INSERT INTO SINONIMOS VALUES("sal de monopotássio ácido", "potássio");
INSERT INTO SINONIMOS VALUES("monobásico", "ácido");
INSERT INTO SINONIMOS VALUES("sdz-psc-833", "psc833");
INSERT INTO SINONIMOS VALUES("pyl", "peptide tyrosine leucine amide");
INSERT INTO SINONIMOS VALUES("saruplase", "scu-pa");
INSERT INTO SINONIMOS VALUES("n-metilescopolamina", "methscopolamine");
INSERT INTO SINONIMOS VALUES("n-brometo de escopolamina", "cimetrópio");
INSERT INTO SINONIMOS VALUES("pequenas ribonucleoproteínas nucleares", "snrnp");
INSERT INTO SINONIMOS VALUES("edetato", "edta");
INSERT INTO SINONIMOS VALUES("metaloproteinase inibidora de tecido-1", "timp-1");
INSERT INTO SINONIMOS VALUES("fator de crescimento endotelial vascular", "vegf");
INSERT INTO SINONIMOS VALUES("veadent", "viadent");
INSERT INTO SINONIMOS VALUES("shiga toxins", "verotoxina");
INSERT INTO SINONIMOS VALUES("recidivante", "crônica");
INSERT INTO SINONIMOS VALUES("meato", "canal");
INSERT INTO SINONIMOS VALUES("estrutura laringe dobra ventricular", "corda vocal falsa");
INSERT INTO SINONIMOS VALUES("tolerância ao exercício", "estresse");
INSERT INTO SINONIMOS VALUES("ceco", "cecal");
INSERT INTO SINONIMOS VALUES("embolia colesterol", "ateroembolismo");
INSERT INTO SINONIMOS VALUES("vírus de Epstein Barr", "ebv");
INSERT INTO SINONIMOS VALUES("hemospermia", "hematospermia");
INSERT INTO SINONIMOS VALUES("sarda melanótica de hutchinson", "lentigo maligno");
INSERT INTO SINONIMOS VALUES("infecção do trato respiratório inferior", "peito frio");
INSERT INTO SINONIMOS VALUES("ruptura", "lágrima");
INSERT INTO SINONIMOS VALUES("cólon de ressecção parcial", "colectomia subtotal");
INSERT INTO SINONIMOS VALUES("pé de falange", "dedo do pé");
INSERT INTO SINONIMOS VALUES("sialadenite", "Glândula salivar");
INSERT INTO SINONIMOS VALUES("em forma", "apreensão");
INSERT INTO SINONIMOS VALUES("terapia", "tratamento");
INSERT INTO SINONIMOS VALUES("adaptação biológica", "resposta");
INSERT INTO SINONIMOS VALUES("soco bêbado síndrome", "demência pugilística");
INSERT INTO SINONIMOS VALUES("bursite", "tendinite");
INSERT INTO SINONIMOS VALUES("anorretal", "perianal");
INSERT INTO SINONIMOS VALUES("parulis", "abscesso gengival");
INSERT INTO SINONIMOS VALUES("primário", "artrite aguda");
INSERT INTO SINONIMOS VALUES("neurodermite localizada", "líquen simplex chronicus");
INSERT INTO SINONIMOS VALUES("convulsões parciais complexas", "cps");
INSERT INTO SINONIMOS VALUES("hemi-negligência", "negligência unilateral");
INSERT INTO SINONIMOS VALUES("cego", "mascarado");
INSERT INTO SINONIMOS VALUES("assistido por animais", "animal");
INSERT INTO SINONIMOS VALUES("aliviando", "redução");
INSERT INTO SINONIMOS VALUES("semiprone", "recuperação");
INSERT INTO SINONIMOS VALUES("dispositivo antiembolico para meias", "mangueira de suporte");
INSERT INTO SINONIMOS VALUES("flatus", "retal");
INSERT INTO SINONIMOS VALUES("bíceps", "bicipital");
INSERT INTO SINONIMOS VALUES("addisoniano", "ad-renal");
INSERT INTO SINONIMOS VALUES("fator anti-nuclear", "ana");
INSERT INTO SINONIMOS VALUES("uréia sanguínea", "coque");
INSERT INTO SINONIMOS VALUES("creatina fosfoquinase", "cpk");
INSERT INTO SINONIMOS VALUES("edema generalizado", "anasarca");
INSERT INTO SINONIMOS VALUES("gama-glutamil transferase", "ggt");
INSERT INTO SINONIMOS VALUES("prejudicado", "atrasado");
INSERT INTO SINONIMOS VALUES("função renal anormal", "disfunção renal");
INSERT INTO SINONIMOS VALUES("láctico", "d-lático");
INSERT INTO SINONIMOS VALUES("peito retroesternal", "subesternal");
INSERT INTO SINONIMOS VALUES("pulmão de infecção fúngica", "micose pulmonar");
INSERT INTO SINONIMOS VALUES("aspartato transaminase níveis levantados", "sgot elevado");
INSERT INTO SINONIMOS VALUES("alanina aminotransferase", "alt");
INSERT INTO SINONIMOS VALUES("atraso ao iniciar passe", "hesitação");
INSERT INTO SINONIMOS VALUES("estimulação tátil", "tocar");
INSERT INTO SINONIMOS VALUES("taenia saginata", "tênia da carne");
INSERT INTO SINONIMOS VALUES("laceração do ligamento largo", "allen-mestres");
INSERT INTO SINONIMOS VALUES("espondilopatia traumática", "doença de kummell");
INSERT INTO SINONIMOS VALUES("síndrome de patau", "trissomia 13");
INSERT INTO SINONIMOS VALUES("compressão da artéria celíaca", "marvel");
INSERT INTO SINONIMOS VALUES("infarto pós-miocárdico", "Dressler's");
INSERT INTO SINONIMOS VALUES("Foster-Kennedy", "de kennedy");
INSERT INTO SINONIMOS VALUES("crise glaucomatocíclica", "síndrome de posner-schlossman");
INSERT INTO SINONIMOS VALUES("mittelschmerz", "dor de ovulação");
INSERT INTO SINONIMOS VALUES("lactação falha não especificada", "agalaxia");
INSERT INTO SINONIMOS VALUES("trabalho de fase latente prolongada", "disfunção uterina hipotônica");
INSERT INTO SINONIMOS VALUES("incontrolável", "persistente");
INSERT INTO SINONIMOS VALUES("associado a fatores psicológicos", "somatoforme");
INSERT INTO SINONIMOS VALUES("trochlear", "quarto");
INSERT INTO SINONIMOS VALUES("rasgamento excessivo", "olho aguado");
INSERT INTO SINONIMOS VALUES("bilocularis", "Duplo");
INSERT INTO SINONIMOS VALUES("lactocele", "galactocele");
INSERT INTO SINONIMOS VALUES("degeneração gordurosa", "esteatose");
INSERT INTO SINONIMOS VALUES("giro", "córtex");
INSERT INTO SINONIMOS VALUES("nó na língua", "anquiloglossia");
INSERT INTO SINONIMOS VALUES("comum", "solteiro");
INSERT INTO SINONIMOS VALUES("escápula de elevação congênita", "deformidade sprengel");
INSERT INTO SINONIMOS VALUES("dedo abscesso pulp", "panarício");
INSERT INTO SINONIMOS VALUES("fissura", "rachado");
INSERT INTO SINONIMOS VALUES("colesterolose", "morango");
INSERT INTO SINONIMOS VALUES("atrofia linear", "estria");
INSERT INTO SINONIMOS VALUES("tuberculose primária", "ghon");
INSERT INTO SINONIMOS VALUES("abscesso intracraniano", "cérebro");
INSERT INTO SINONIMOS VALUES("estreptococo septicemia", "sépsis");
INSERT INTO SINONIMOS VALUES("exantema", "erupção cutânea");
INSERT INTO SINONIMOS VALUES("disseminado", "sistêmico");
INSERT INTO SINONIMOS VALUES("coccidioidomicose pulmonar primária", "febre do vale de san joaquin");
INSERT INTO SINONIMOS VALUES("ânus", "anal");
INSERT INTO SINONIMOS VALUES("rim maligno secundário do neoplasma", "metástase renal");
INSERT INTO SINONIMOS VALUES("pele neoplásica maligna secundária", "metástase cutânea");
INSERT INTO SINONIMOS VALUES("bócio uninodular", "Nódulo da tireóide");
INSERT INTO SINONIMOS VALUES("adiposidade", "gordo");
INSERT INTO SINONIMOS VALUES("hipercarotinemia", "carotenemia");
INSERT INTO SINONIMOS VALUES("anemia pós-hemorrágica", "anemia por perda de sangue");
INSERT INTO SINONIMOS VALUES("distúrbio cerebral", "cerebral");
INSERT INTO SINONIMOS VALUES("monoplegia", "paralisia");
INSERT INTO SINONIMOS VALUES("membro superior da monoplegia", "paralisia de braço");
INSERT INTO SINONIMOS VALUES("clássico", "aura");
INSERT INTO SINONIMOS VALUES("retinopatia exsudativa", "doença de casacos");
INSERT INTO SINONIMOS VALUES("degeneração retiniana microcistóide", "cistos de iwanoff");
INSERT INTO SINONIMOS VALUES("rubeose iridis", "neovascularização da íris");
INSERT INTO SINONIMOS VALUES("aderências íris", "sinéquia");
INSERT INTO SINONIMOS VALUES("infância", "juvenil");
INSERT INTO SINONIMOS VALUES("cegueira transitória", "perda temporária da visão");
INSERT INTO SINONIMOS VALUES("Deutan defeito", "cegueira de cor vermelho-verde");
INSERT INTO SINONIMOS VALUES("ceratite micótica", "úlcera corneana fúngica");
INSERT INTO SINONIMOS VALUES("ocular", "conjuntivo");
INSERT INTO SINONIMOS VALUES("mucocele lacrimal", "dacriocistocele");
INSERT INTO SINONIMOS VALUES("sinérese", "degeneração");
INSERT INTO SINONIMOS VALUES("origem central da vertigem", "labirites");
INSERT INTO SINONIMOS VALUES("labirinto não especificado", "perilinfa");
INSERT INTO SINONIMOS VALUES("perda auditiva neural", "surdez nervosa");
INSERT INTO SINONIMOS VALUES("bacteriano", "séptico");
INSERT INTO SINONIMOS VALUES("aterosclerose", "esclerose");
INSERT INTO SINONIMOS VALUES("capilares da doença", "microangiopatia");
INSERT INTO SINONIMOS VALUES("não alérgico", "intrínseco");
INSERT INTO SINONIMOS VALUES("e umidificador", "condicionador");
INSERT INTO SINONIMOS VALUES("doença intestino grande", "colite");
INSERT INTO SINONIMOS VALUES("congestão passiva crônica", "noz-moscada");
INSERT INTO SINONIMOS VALUES("subinvolução crônica", "encolhendo");
INSERT INTO SINONIMOS VALUES("anel apertado", "rígido");
INSERT INTO SINONIMOS VALUES("hipertrofia da vulva", "lábios aumentados");
INSERT INTO SINONIMOS VALUES("pós-coito", "depois do coito");
INSERT INTO SINONIMOS VALUES("não especificado", "aborto espontâneo");
INSERT INTO SINONIMOS VALUES("espondilose com mielopatia", "compressão da medula espinhal");
INSERT INTO SINONIMOS VALUES("dorsalgia", "notalgia");
INSERT INTO SINONIMOS VALUES("intersticial", "fibrosa");
INSERT INTO SINONIMOS VALUES("membro", "extremidade");
INSERT INTO SINONIMOS VALUES("hálux valgo adquirido", "joanete");
INSERT INTO SINONIMOS VALUES("adquirido", "mão");
INSERT INTO SINONIMOS VALUES("anomalia", "malformação");
INSERT INTO SINONIMOS VALUES("convulsões recém-nascido", "convulsões neonatais");
INSERT INTO SINONIMOS VALUES("eletromiograma", "emg");
INSERT INTO SINONIMOS VALUES("articulação temporomandibular", "mandíbula");
INSERT INTO SINONIMOS VALUES("cartilagem costal", "costela");
INSERT INTO SINONIMOS VALUES("contusão mais baixa", "ematoma");
INSERT INTO SINONIMOS VALUES("contusão", "contusões");
INSERT INTO SINONIMOS VALUES("exaustão esforço excessivo", "esforço excessivo");
INSERT INTO SINONIMOS VALUES("95% distal", "parcial");
INSERT INTO SINONIMOS VALUES("cardiovascular", "hemodinâmica");
INSERT INTO SINONIMOS VALUES("cálculo", "pedra");
INSERT INTO SINONIMOS VALUES("adrenoleucodistrofia", "Doença de Addison-Schilder");
INSERT INTO SINONIMOS VALUES("compreensão", "compreensão");
INSERT INTO SINONIMOS VALUES("síndrome de christ-siemens-touraine", "displasia ectodérmica anidrótica");
INSERT INTO SINONIMOS VALUES("displasia ectodérmica hidrótica", "síndrome de clouston");
INSERT INTO SINONIMOS VALUES("enterobius", "pinworm");
INSERT INTO SINONIMOS VALUES("reparativo", "central");
INSERT INTO SINONIMOS VALUES("Obrigações", "responsabilidade");
INSERT INTO SINONIMOS VALUES("miliaria rubra", "calor espinhoso");
INSERT INTO SINONIMOS VALUES("baillarger", "frey");
INSERT INTO SINONIMOS VALUES("coproporfiria hereditária", "síndrome de watson");
INSERT INTO SINONIMOS VALUES("bacteriófago", "fago");
INSERT INTO SINONIMOS VALUES("angioplastia", "vaso sanguíneo para reparo cirúrgico");
INSERT INTO SINONIMOS VALUES("vírus", "viral");
INSERT INTO SINONIMOS VALUES("apoptose", "célula de autodestruição");
INSERT INTO SINONIMOS VALUES("técnica de imunoensaio enzimático multiplicado", "Teste de triagem EMIT");
INSERT INTO SINONIMOS VALUES("absorção", "recaptura");
INSERT INTO SINONIMOS VALUES("transferência intrafalopiana zigótica", "prótese");
INSERT INTO SINONIMOS VALUES("substâncias reativas ao ácido tiobarbitúrico", "tbars");
INSERT INTO SINONIMOS VALUES("hibridização de fluorescente", "técnica de peixe");
INSERT INTO SINONIMOS VALUES("cicatriz", "cicatriz");
INSERT INTO SINONIMOS VALUES("pitiríase liquenóide e varioliforme acuta", "pleva");
INSERT INTO SINONIMOS VALUES("aneurisma falso", "pseudoaneurisma");
INSERT INTO SINONIMOS VALUES("Dividido", "degradação");
INSERT INTO SINONIMOS VALUES("arildialquilfosfatase", "paraoxonase");
INSERT INTO SINONIMOS VALUES("Anidrido s-acetilmercaptosuccínico", "samsa");
INSERT INTO SINONIMOS VALUES("estromelisina 1", "mmp-3");
INSERT INTO SINONIMOS VALUES("gelatinase b", "mmp-9");
INSERT INTO SINONIMOS VALUES("3-benzoato", "benzoato");
INSERT INTO SINONIMOS VALUES("harpina", "proteína mensageira");
INSERT INTO SINONIMOS VALUES("somatropina", "hormônio de crescimento humano");
INSERT INTO SINONIMOS VALUES("albumina sérica bovina", "abbos");
INSERT INTO SINONIMOS VALUES("ciclofosfamida / dacarbazina / doxorrubicina", "Quimioterapia CICADICA");
INSERT INTO SINONIMOS VALUES("ker10", "queratina 10");
INSERT INTO SINONIMOS VALUES("bissulfato", "sulfato de bis-ciclo-hexilamónio");
INSERT INTO SINONIMOS VALUES("queratinócito cd44", "epicano");
INSERT INTO SINONIMOS VALUES("imagens", "visualização");
INSERT INTO SINONIMOS VALUES("cateter", "desviar");
INSERT INTO SINONIMOS VALUES("aplasia radial-trombocitopenia", "alcatrão");
INSERT INTO SINONIMOS VALUES("seqüência bilateral de lateralidade", "síndrome de ivemark");
INSERT INTO SINONIMOS VALUES("centronuclear", "miotubular");
INSERT INTO SINONIMOS VALUES("dispositivo de tomada elétrica", "receptáculos");
INSERT INTO SINONIMOS VALUES("sistematizado", "linear");
INSERT INTO SINONIMOS VALUES("cervical", "pescoço");
INSERT INTO SINONIMOS VALUES("mamilo ausente congênita", "athelia");
INSERT INTO SINONIMOS VALUES("tíbia vara", "doença de blount");
INSERT INTO SINONIMOS VALUES("hemaglutinina", "aglutinina");
INSERT INTO SINONIMOS VALUES("queratoprótese", "córnea artificial");
INSERT INTO SINONIMOS VALUES("entrega de amniotomia", "membranas de ruptura artificiais");
INSERT INTO SINONIMOS VALUES("fechadas", "agulha");
INSERT INTO SINONIMOS VALUES("deficiência nutricional", "desnutrição");
INSERT INTO SINONIMOS VALUES("parto puerpério gravidez", "obstetrícia");
INSERT INTO SINONIMOS VALUES("membro superior", "braço");
INSERT INTO SINONIMOS VALUES("fratura membro inferior", "perna quebrada");
INSERT INTO SINONIMOS VALUES("antígeno específico da próstata", "psa");
INSERT INTO SINONIMOS VALUES("seqüência oligohydramnios", "síndrome de oleiro");
INSERT INTO SINONIMOS VALUES("anus rectum", "ano-retal");
INSERT INTO SINONIMOS VALUES("trato urinário", "uropatia");
INSERT INTO SINONIMOS VALUES("espécime", "amostra");
INSERT INTO SINONIMOS VALUES("sistema de aviso noturno da bexiga", "alarme de enurese");
INSERT INTO SINONIMOS VALUES("pressão de bandagens", "pensos de compressão");
INSERT INTO SINONIMOS VALUES("dispositivo de trilhos de cabeceira", "trilhos laterais");
INSERT INTO SINONIMOS VALUES("flexível", "fibra ótica");
INSERT INTO SINONIMOS VALUES("reanimação", "batida");
INSERT INTO SINONIMOS VALUES("elenco ortopédico", "gesso curativo");
INSERT INTO SINONIMOS VALUES("dispositivo intravenoso periférico", "IV");
INSERT INTO SINONIMOS VALUES("drenagem externa urinária", "preservativo");
INSERT INTO SINONIMOS VALUES("paciente com deficiência levantando o assento", "lift");
INSERT INTO SINONIMOS VALUES("almofadas", "almofadas");
INSERT INTO SINONIMOS VALUES("Estimulação nervosa elétrica transcutânea", "dezenas");
INSERT INTO SINONIMOS VALUES("implantes de drenagem de glaucoma", "derivação aquosa");
INSERT INTO SINONIMOS VALUES("analisadores laboratório manual de contagem de células de hematologia", "hemocitômetro");
